venue_name,city,state
"Renasant Convention Center, Memphis",Memphis,TN
Pictou County Wellness Centre,New Glasgow,NS
"Minneapolis, MN",Minneapolis,MN
Charles E. Smith Center,Washington D.C.,
NYSE - New York Stock Exchange,New York,NY
"Hotel Arts, Calgary",Calgary,AB
Central Bank Center,Lexington,KY
Capital Exhibit Centre,Fredericton,NB
Hynes Convention Center,Boston,MA
Hasse Arena,Lakeville,MN
"Portland, OR",Portland,OR
"Cal Expo, Sacramento",Sacramento,CA
Ice Arena Antigo,Antigo,WI
Aeropuerto Internacional Arturo Merino Benítez,Santiago,
Kossiakoff Center at Johns Hopkins University,Laurel,MD
Victoria Recreation Center,Victoria,MN
Hyatt Regency Coconut Point,Bonita Springs,FL
Orange County Convention Center,Baltimore,MD
Stewart Hotel New York,New York,NY
Chicago Marriott Oak Brook,Chicago,IL
Bay Bridge Marina Stevensville,Annapolis,MD
Batesville Civic Center,Batesville,MS
Hyatt Regency San Francisco Airport,San Francisco,CA
Hyatt Regency Mission Bay Spa and Marina Hyatt Regency Mission Bay Spa and Marina,San Diego,CA
Mana Wynwood Convention Center,Miami,FL
Huntington Place Convention Center,Detroit,MI
"Grapevine, TX",Grapevine,TX
Better Living Centre,Toronto,ON
Meadowlands Expo Center Secaucus,Jersey City,NJ
"Fort Worth, TX",Fort Worth,TX
UF Scripps Biomedical Research - University of Florida,Jupiter,FL
Rosen Shingle Creek Resort,Orlando,FL
Centrexpo Cogeco Drummondville,Drummondville,QC
Central Wisconsin Convention & Expo Center,Wausau,WI
Hippodrome Ice Arena,White Bear Lake,MN
Marina Jack's,Sarasota,FL
Centro Internacional de Ferias y Convenciones,San Salvador,
Gaylord National Resort and Convention Center,National Harbor,MD
The Wanamaker Building,Philadelphia,PA
Waukesha County Expo Center,Milwaukee,WI
Parque Municipal de Exposições Alfredo Leandro Carlson,Santa Rosa,
Live! Casino & Hotel Philadelphia,Philadelphia,PA
Park Hyatt Chicago,Chicago,IL
Fundaparque,Bento Gonçalves,
Annapolis City Dock,Annapolis,MD
Mazatlán International Center,Mazatlán,
Ontario International Airport,Ontario,CA
Topsfield Fairgrounds,Topsfield,MA
Fairmont San Francisco Hotel,San Francisco,CA
Fort Mason Center,San Francisco,CA
Fontainebleau Resort Las Vegas,Las Vegas,NV
Rath Eastlink Community Centre,Truro,NS
Von Braun Center,Huntsville,AL
Spruce Meadows,Calgary,AB
Fazenda Sol Nascente,Balsas,
Centro Tecnológico Vandeci Rack,Ji-Paraná,
Parc 55 Hotel,San Francisco,CA
Sheraton Philadelphia Downtown Hotel,Philadelphia,PA
Mukwonago Field Park,Mukwonago,WI
"World Market Center, Las Vegas",Las Vegas,NV
Omni Frisco Hotel,Frisco TX,
Fort Pontchartrain a Wyndham Hotel,Detroit,MI
Poliforum Leon,León,
HealthEast Sports Center,Woodbury,MN
Meydenbauer Center,Bellevue,WA
New York Pier 90,New York,NY
Expo Unimed Curitiba,Curitiba,
Centre Jean-Daigle,Edmundston,NB
UQAC pavillon sportif,Saguenay,QC
"The Westin Copley Place, Boston",Boston,MA
"National Guard Armory, Covington",Covington,TN
Westin Boston Seaport District,Boston,MA
Commissioners Park,Ottawa,ON
Park Avenue Armory,New York,NY
The Westin Arlington Gateway,Washington D.C.,
"Seaport Hotel, Boston",Boston,MA
Mexico World Trade Center,Mexico City,
World Trade Center São Paulo,São Paulo,
White Oaks Conference Resort,Niagara Falls,ON
Ibirapuera Park,São Paulo,
"San Jose, CA",San Jose,CA
Denver Merchandise Mart,Denver,CO
JW Marriott Desert Springs Resort & Spa,Palm Springs,CA
Chicago Journeyman Plumbers Union Hall,Chicago,IL
Hilton Toronto,Toronto,ON
Morgan MFG,Chicago,IL
NRG Center,Houston,TX
Norris Conference Centers - Houston CityCentre,Houston,TX
"South Point Hotel, Casino and Spa",Las Vegas,NV
The Studios at Paramount,Los Angeles,CA
El Paso Convention and Performing Art Center,El Paso,TX
Parque Vila Germanica,Blumenau,
Eagle River Stadium,Eagle River,WI
Cool Springs Galleria,Franklin,TN
Gare Windsor,Montreal,QC
Racine Zoo on Lake Michigan,Racine,WI
Wynn Las Vegas Resort,Las Vegas,NV
Hyatt Regency Orlando,Orlando,FL
"Anaheim, CA",Anaheim,CA
Recinto Ferial y de Actividades Comunitarias AIA,Antofagasta,
Pacific National Exhibition,Vancouver,BC
Orange County Convention Center,Las Vegas,NV
Iowa State Fairgrounds,Des Moines,IA
Greater Ft. Lauderdale - Broward County Convention Center,Fort Lauderdale,FL
Aréna Jacques-Laperrière et Réjean Houle,Rouyn-Noranda,QC
Fort Lauderdale War Memorial Auditorium,Fort Lauderdale,FL
Chicago Marriott Schaumburg,Chicago,IL
"Intercontinental Chicago Magnificent Mile, Chicago",Chicago,IL
Hilton Washington DC National Mall The Wharf,Washington D.C.,
Expo Santa Fe México CDMX,Mexico City,
Intercontinental Santiago,Santiago,
Mirage Event Center,Indianapolis,IN
"Marriott Hotel, Schaumburg",Schaumburg,IL
CenturyLink Field Event Center,Seattle,WA
The Westin Lake Las Vegas Resort & Spa,Las Vegas,NV
"Fairmont Century Plaza, Los Angeles",Los Angeles,CA
São Paulo,São Paulo,
Sunbridge Hotel and Conference Center,Sarnia,ON
"Reno, NV",Reno,NV
Aéroport de Montréal Saint-Hubert Longueuil,Montreal,QC
Parque Anhembi,São Paulo,
Cancún Center,Cancún,
Hilton Mexico City Reforma,Mexico City,
Salt Palace Convention Center,Salt Lake City,UT
UIC Forum,Chicago,IL
Westin Atlanta Perimeter North,Atlanta,GA
Sheraton Vancouver Wall Centre,Vancouver,BC
"Cancún-Riviera Maya, México",Cancún,
Caroline Country Fairgrounds,Richmond,VA
Renaissance Dallas Richardson Hotel,Dallas,TX
Gaylord National Hotel & Convention Center,Washington D.C.,
Twin Lakes Park Westmoreland,Pittsburgh,PA
Ludington's Rotary Park,Ludington,MI
Mystic Seaport,Norwich,CT
Buenos Aires,Buenos Aires,
Allen County War Memorial Coliseum,Fort Wayne,IN
Kutztown Fairgrounds,Reading,PA
"Cedar City, UT",Cedar City,UT
"West Grand Traverse Bay, Lake Michigan",Traverse City,MI
Nathan Phillips Square,Toronto,ON
"Muskegon, MI",Muskegon,MI
Hotel Van Zandt,Austin,TX
"Weld County Fairgrounds, Greeley",Greeley,CO
Cedar Creek Lake,Corsicana,TX
"Weatherford, TX",Weatherford,TX
"Williams Lake, Hudson Valley",Kingston,NY
Marriott Tampa Westshore,Tampa,FL
Penn State University Campus,State College,PA
"Eden Roc Hotel, Miami Beach",Miami,FL
The Lakeland Center,Lakeland,FL
Indianapolis Marriott East,Indianapolis,IN
Schoenecker Arena,St. Paul,MN
Pioneer Park,Brookings,SD
Rabun County Civic Center,Clayton,GA
Burning Man Gathering,Reno,NV
Monterey Conference Center,Monterey,CA
Iola Old Car Show - Show Grounds,Iola,WI
Diplomat Resort & Spa Hollywood,Hollywood,FL
Gaylord Palms Resort and Convention Center,Kissimmee,FL
Terranea Resor,Rancho Palos Verdes,CA
Genesee Park / Lac Washington,Seattle,WA
Palo Alto Art Center,Palo Alto,CA
Museum Hill,Santa Fe,NM
"Haddonfield, NJ",Haddonfield,NJ
"Novotel Sao Paulo, Center Norte",São Paulo,
Guilford Art Center,Farmington,CT
Keystone Conference Center,Dillon,CO
Aspen Ice Garden,Aspen,CO
Gaylord Rockies Resort & Convention Center,Denver,CO
DoubleTree By Hilton Bogota Salitre AR,Bogotá,
Bridgehampton Museum,Bridgehampton,NY
Esther Short Park,Vancouver,WA
Centro de Eventos Valle del Pacifico,Cali,
"Redwood Falls, MN",Redwood Falls,MN
WestWorld of Scottsdale Phoenix,Phoenix,AZ
Springdale Holiday Inn Convention Center,Springdale,AR
Anoka Area Ice Arena,Roseville,MN
Green Bay Austin Straubel International Airport,Green Bay,WI
Schaumburg Convention Center,Schaumburg,IL
Espace 400e,Quebec City,QC
Castlewood Country Club Pleasanton,Pleasanton,CA
Centro de Eventos Zanini,Sertãozinho,
"Breckenridge, CO",Breckenridge,CO
Agricenter International,Memphis,TN
Duggal Greenhouse,New York,NY
ExpoMag,Rio de Janeiro,
Abbington Banquets Glen Ellyn,Chicago,IL
"Saint-Liboire, QC",Saint-Liboire,QC
"Raleigh, NC",Raleigh,NC
Westin Denver Downtown Hotel,Denver,CO
Villa Ciudad Ferial,Lima,
"Lake George, NY",Lake George,NY
Place des Festivals,Montreal,QC
"Farm Progress Show Gathering, Decatur, IL",Boone,IA
Parque de Exposição Carlos Caiado Barbosa,Cachoeiro de Itapemirim,
"Tucson, AZ",Tucson,AZ
Cartagena de Indias Convention Center,Cartagena,
"June Lake, CA",June Lake,CA
Watters Creek Convention Center,Allen,TX
Universidad Nacional de San Agustin de Arequipa,Arequipa,
Delta Trois-Rivieres Hotel & Conference Centre,Trois-Rivières,QC
TCF Center - formely COBO Center,Detroit,MI
"Hyatt Regency, Boston",San Diego,CA
Nassau Veterans Memorial Coliseum,Uniondale,NY
"Pittsburgh, PA",Pittsburgh,PA
"Saugerties, NY",Saugerties,NY
Paradisus Hotel,Playa del Carmen,
Newport Harbor,Newport,RI
Frank S. Farley State Marina,Atlantic City,NJ
Hilton Houston Post Oak by the Galleria,Houston,TX
"Grand Island, NE",Grand Island,NE
New York Pier 36,New York,NY
"Ketchikan, AK",Ketchikan,AK
Suncor Community Leisure Centre,Fort McMurray - Wood Buffalo,AB
"Schaumburg, IL",Schaumburg,IL
"The Fairmont Hotel, Dallas",Dallas,TX
Laurel Fairgrounds,Laurel,MS
FisrtEnergy Park,Lakewood,NJ
Hilton Post Oak,Houston,TX
Greater Columbus Convention Center,Columbus,OH
Georgia World Congress Center,Los Angeles,CA
Baha Mar,Nassau,
Hilton Lac-Leamy,Gatineau,QC
Drury Lane Theatre,Oak Brook,IL
"Statler Hotel, Dallas",Dallas,TX
Norwalk Cove Marina,Norwalk,CT
Rio de Janeiro,Rio de Janeiro,
Buenos Aires Marriott Hotel,Buenos Aires,
Corpus Christi American Bank Center,Corpus Christi,TX
"C. Baldwin, Houston",Houston,TX
Centro de Exposiciones Quito,Quito,
Fargodome,Fargo,ND
Ventura County Fairgrounds,Ventura,CA
Stillwater Armory,Woodbury,MN
National Cattle Congress Hippodrome Auditorium,Waterloo,IA
Hotel Albuquerque at Old Town,Albuquerque,NM
Centro Eventos Puente Verde,Santiago,
Parque de Exposições Conta Dinheiro,Lages,
"Embassy Suites By Hilton, Seattle",Seattle,WA
Boston Marriott Burlington,Boston,MA
Pavilhoes da Festa da Uva,Caxias do Sul,
"Hotel CCT, Caracas",Caracas,
Recanto da Cascata,São Roque - SP,
Grand Quai du Port de Montréal,Montreal,QC
Bell Harbor International Conference Center,Seattle,WA
Hawaii Convention Center,Honolulu,HI
Moody Gardens Convention Center,Galveston,TX
Trilith Studios,Atlanta,GA
Roland E. Powell Convention Center,Ocean City,MD
Peppermill Resort Spa Casino,Reno,NV
Loews Miami Beach Hotel,Miami,FL
"Austin, TX",Austin,TX
South San Francisco Conference Center,San Francisco,CA
Kansas City Marriott Downtown,Kansas City,MO
"Clearwater, FL",Clearwater,FL
Pro Magno Centro de Eventos,São Paulo,
Boardwalk Beach Resort,Panama City,FL
Museo de la Nacion,Lima,
"Paradox Hotel, Vancouver",Vancouver,BC
Centro de Convenções Frei Caneca,São Paulo,
Plaza Hotel & Casino,Las Vegas,NV
Lake Cahuilla Park Palm Springs,La Quinta,CA
Yarmouth Mariners Centre,Yarmouth,NS
Hôtel Rimouski and Rimouski convention centre,Rimouski,QC
Centro de Eventos Sur Activo,Concepción,
Base Aeronaval Viña del Mar,Valparaiso,
Clube Hebraica SP,São Paulo,
Mexico Military Airbase,Mexico City,
Rionegro,Rionegro,
FIDAM (Feira Industrial de Americana),Americana,
Macaé Centro,Macaé,
CN Centre,Prince George,BC
