organizer_name,website,phone,email
Expo Management Inc.,http://www.exposition.com/,+1 (416) 927-1376,info@exposition.com
Globe Foundation of Canada,http://www.globe.ca/,+1 (604) 775-7300,info@globe.ca
Marine Trades Association of New Jersey,http://mtanj.org/,+1 (732) 292-1051,info@mtanj.org
Picaflor Sarl,http://www.iloveplaytime.com/,,sebastien@iloveplaytime.com
"International Agri-Center, Inc.",http://www.internationalagricenter.com/,+1 (559) 688-1030,events@farmshow.org
Boating Industry Association of Upstate NY,http://www.cnybia.com/,+1 (315) 447-9286,bia@twcny.rr.com
Crafts America LLC,http://www.craftsamericashows.com/,+1 (203) 254-0486,info@craftsamericashows.com
Triangle Management Services Ltd.,http://www.triangle.eu.com/,+44 (0)1628 642 910,team@triangle.eu.com
Farm Progress,http://marketing.farmprogress.com/,+1 (212) 600-3668,shows@farmprogress.com
Euromedicom,http://www.euromedicom.com/en,+33 (0)1 58 56 74 00,registration@euromedicom.com
EREF (Environmental Research & Education Foundation),http://erefdn.org/,+1 (919) 861-6876,foundation@erefdn.org
Western Veterinary Conference,http://wvc.org/,+1 (702) 739.6698,info@wvc.org
ConFoo,http://confoo.ca/,+1 (888) 392-0909,board@confoo.ca
"Fox Valley Outdoor Enthusiasts, LLC",http://www.rvboatmainevent.com/,+1 (920) 676-7903,info@rvboatmainevent.com
AEMA (Asphalt Emulsion Manufacturers Association),http://www.aema.org/,+1 (410) 267-0023,krissoff@aema.org
Pittsburgh Conference,http://www.pittcon.org/,+1 (412) 825-3220,expo@pittcon.org
Harrisburg RV Show,http://www.parvsupershow.com/,,
ABUP (Associação Brasileira das Empresas de Utilidades e Presentes),http://www.abup.com.br/,+55 11 4010-5200,abup@abup.com.br
Beacon Events Ltd,http://www.beaconevents.com/,+852 2531 6100,info@beaconevents.com
Home Builders Association of Metropolitan Portland,http://www.homeshowpdx.com/,+1 (503) 479-2660,homeandgardenshows@hbapdx.org
"Equestrian Promotions, Inc",http://www.horseworldexpo.com/,+1 (301) 916-0852,info@horseworldexpo.com
Fexpocruz,http://www.fexpocruz.com.bo/,+591 3 353-3535,feria@fexpocruz.com.bo
Anato (Asociación Colombiana de Agencias de Viajes y Turismo),http://www.anato.org/,+57 (1) 6107099,anato@anato.org
Canadian Golfexpo,http://www.canadiangolfexpo.ca/,+1 (﻿866) 626-4262,gchambers@ngcoa.ca
Digital Dentistry Society,http://digital-dentistry.org/,,info@digital-dentistry.org
Internet Society,http://www.isoc.org/,+1 (703) 648-9888,isoc@isoc.org
Bio (Biotechnology Industry Organization),http://www.bio.org/,+1 (202).962.9200,cbeckman@bio.org
"Patronato de AgroBaja, A. C.",http://www.agrobaja.com/,+52 01 686 592-1186,info@agrobaja.com
Emerald City Comicon Corp.,http://www.emeraldcitycomicon.com/,+1 (425).744.2767,info@emeraldcitycomicon.com
"Endeavor Business Media, LLC",http://www.endeavorbusinessmedia.com/,+1 (800) 547-7377,
Vinexposium,http://www.vinexposium.com/,+33 (0)1 76 77 11 11,info@vinexposium.com
Comexposium,http://www.comexposium.com/,+33 (0)1 76 77 11 11,dcom@comexposium.com
MPIF (Metal Powder Industries Federation),http://www.mpif.org/,+1 (609) 452-7700,info@mpif.org
MIC (Ministerio de la Informatica y las Comunicaciones de Cuba),http://www.mic.gov.cu/,,informaticahabana@mic.cu
Cervefest México,http://www.cervefest.com.mx/,+55 6964 5192,ventas@cervefest.com.mx
Babypalooza Inc.,http://www.babypalooza.com/,+1 (205) 440 2229,
"Aeroxchange, Ltd",http://www.aeroxchange.com/aexportal,+1 (972) 556 8500,sales@aeroxchange.com
Expoagro,http://www.expoagro.com.ar/,+54 11 5128-9800/05,igandara@expoagro.com.ar
PDAC (Prospectors and Developers Association of Canada),http://www.pdac.ca/,+1 (416) 362 1969,info@pdac.ca
ACIC Caruaru,http://aciccaruaru.com/,+55 81 3721-2725,marketing@aciccaruaru.com
AMPP (Association for Materials Protection and Performance),http://www.ampp.org/,+1 (281) 228 6200,firstservice@nace.org
EnsembleIQ Canada - Toronto,http://ensembleiq.com/,+1 (877) 687-7321,mcronin@ensembleiq.com
EnsembleIQ Corporate,http://ensembleiq.com/,+1 (773) 992-4450,mcronin@ensembleiq.com
Scrapbook Expo,http://www.scrapbookexpo.com/,+1 (888) 252-3976,info@scrapbookexpo.com
Zak Group,http://zakgroup.com/,+91 44-42959595,info@zakgroup.com
Hannover Fairs México,http://www.hfmexico.mx/en,+52 (55) 7028 3335,info@hfmexico.mx
Deutsche Messe AG Hannover,http://www.messe.de/,+49 (0)511 89 0,info@messe.de
NSTA (National Science Teacher's Association),http://www.nsta.org/,+1 (703) 243-7100,executive@nsta.org
Francal Feiras,http://francalfeiras.com.br/home-ing,+55 (11) 2226-3100,atendimento@francal.com.br
"Expocomer (Cámara de Comercio, Industrias y Agricultura de Panamá)",http://www.expocomer.com/,+507 207-3433,expo@expocomer.com
Outsider Art Fair / Wide Open Arts,http://www.outsiderartfair.com/,+1 (212) 337 3338,info@outsiderartfair.com
Fenac S/A,http://www.fenac.com.br/,+55 51 3587 3366,eventos@fenac.com.br
MHIA (Material Handling Institute of America),http://www.mhia.org/,+1 (800) 345-1815,cmiller@mhia.org
Latin Press Inc.,http://www.latinpressinc.com/en,+1 (305) 285 3133,informatica@latinpressinc.com
Fortem International USA,http://www.fortem-international.com/,+1 (586) 723 7859,inquiries.epllv@fortem-international.com
Fortem International Ltd.,http://www.fortem-international.com/,+44 0117 930 4927,inquiries.epllv@fortem-international.com
HIMSS (Healthcare Information and Management Systems Society),http://www.himss.org/,+1 (312) 664-4467,
SXSW LLC.,http://sxsw.com/,,
BILD (Building Industry & Land Development Association),http://www.bildgta.ca/,+1 (416) 644-5408,homeshows@bildgta.ca
NTEA (Association for the Work Truck Industry),http://www.ntea.com/,+1 (248) 489-7090,info@ntea.com
"MJSA (Manufacturing Jewelers & Suppliers of America, Inc.)",http://www.mjsa.org/,+1 (401) 274-3840,
Oliver Kinross Ltd,http://www.oliver-kinross.com/,+44 (0)203 058 2350,info@oliverkinross.com
Oliver Kinross Asia Pacific,http://www.oliver-kinross.com/,+852 9794 5770,info@oliverkinross.com
ANTAD,http://www.antad.net/,+52 (55) 5580 9900,malvarez@antad.org.mx
Pet  Event Professionals,http://peteventprofessionals.com/,+1 (800) 977-3609,inquiries@peteventpros.com
Alimentaria Exhibitions S.A.,http://www.alimentaria.com/,+34 93 4521800,info@alimentaria.com
Montana department of Commerce,http://commerce.mt.gov/,+1 (406) 841-2700,
Sofex Americas Ltda.,http://www.sofexamericas.com/,+57 1 618 0972,info@sofexamericas.com
SIAL,http://www.sial.fr/,,sial@sial.fr
Cine Gear Expo,http://www.cinegearexpo.com/,+1 (310) 472-0809,info@cinegearexpo.com
Feicap,http://www.feicap.com.br/,+55 3522-2001,feicap@feicap.com.br
Oxford Publishing Inc.,http://www.oxfordpublishinginc.com/,+1 (800) 247-3881,oxfordpublishing@oxpub.com
ANA (American Numismatic Association),http://www.money.org/,+1 (719) 632-2646,ana@money.org
International Pizza Expo,http://www.pizzaexpo.com/,+1 (502) 599-4650,boakley@pizzatoday.com
CEATI International Inc.,http://www.ceati.com/,+1 (514) 866-5377,events@ceati.com
Aqua Media International Ltd,http://www.hydropower-dams.com/,+44 20 8773 7244,sales@hydropower-dams.com
Rethink Events Ltd,http://www.rethinkevents.com/,+44 (0)1273 789912,info@rethinkevents.com
IHS,http://www.ihs.com/,+1 (832) 619-8599,mbspolymer@aol.com
AFUBRA (Associação dos Fumicultores do Brasil),http://en.afubra.com.br/,+55 51 3713-7715,expoagro@afubra.com.br
Informa Markets Brazil,http://www.informamarkets.com/en/regions.html,+55 11 4632 0200,informamarkets@informa.com
Andina Link,http://andinalink.com/,+57 (316) 877-6065,maria@andinalink.com
FESPA (Federation of European Screen Printers Association),http://www.fespa.com/,+44 (0)1737 240788,info@fespa.com
GCADA (Greater Cincinnati Automobile Dealers Association),http://www.gcada.net/,+1 (513) 326-7100,info@gcada.net
Affordable Art Fair,http://www.affordableartfair.com/,+44 (0)20 8246 4848,enquiries@affordableartfair.com
IHA (International Housewares Association),http://www.housewares.org/,+1 (847) 292-4200,jgranda@housewares.org
New Hope Natural Media,http://www.newhope.com/,+1 (303) 939-8440,info@newhope.com
Tradex Exposiciones Internacionales,http://www.tradex.mx/,+52 (55) 5604 4900,info@tradex.com.mx
Vostock Capital,http://vostockcapital.com/,+44 207 394 3090,events@vostockcapital.com
GNYADA (Greater New York Automobile Dealers Association),http://www.gnyada.com/,+1 (718).746.5900,assistance@gnyada.com
Commerce Interact Ltd.,http://www.commerceinteract.com/,+44 (0)20 7193 4823,contact@commerceinteract.com
"Pinnacle Shows, LLC",http://pinnacle-shows.com/,+1 (470) 306-5544,Evan@pinnacle-shows.com
MHI (Manufactured Housing Institute),http://www.mfghome.org/,+1 (703) 558-0400,registration@mfghome.org
LLHA Association,http://www.llha.ca/,+1 (866) 872.2420,info@llha.ca
Oil & gas Council,http://oilandgascouncil.com/,+1 (713) 353 3915,
"PC International, Inc.",http://www.ipc.org/,+1 (847) 615-7100,Contact.Us@ipc.org
"Conventures, Inc.",http://www.conventures.com/,+1 (617) 439 7700,info@conventures.com
BAA (Boston Athletic Association),http://www.baa.org/,,info@baa.org
Terrapinn USA,http://www.terrapinn.com/,+1 (212) 379 6320,enquiry.us@terrapinn.com
Terrapinn Holdings Ltd,http://www.terrapinn.com/,+44 (0)20 7608 7030,enquiry.uk@terrapinn.com
Cal State Enterprises,http://www.calexpo.com/,+1 (559) 322-2211,info@calexpo.com
ARCHITECT @ WORK Headquarters,http://www.architectatwork.com/,+32 (0)56 24 11 59,info@architectatwork.com
Xpo messe kontakt Gmbh,http://www.architectatwork.eu/,+49 (0)221 272 53 375,germany@architectatwork.eu
Fidae,http://www.fidae.cl/,+56 2 8739750,central@fidae.cl
MFV Expositions,http://www.franchiseexposouth.com/,+1 (201) 226-1130,info@mfvexpo.com
ARC (Automation Research Corporation),http://www.arcweb.com/,+1 (781) 461 9100,info@arcweb.com
"ASLMS (American Society for Laser Medicine and Surgery, Inc.).",http://www.aslms.org/,+1 (715) 845-9283,information@aslms.org
Annapolis Boat Shows,http://www.annapolisboatshows.com/,+1 (410) 268 8828,info@annapolisboatshows.com
Pintastic LLC,http://www.pintasticnewengland.com/,+1 (774) 278-3541,david@pintasticne.com
National Indian Gaming Association,http://indiangaming.org/,+1 (202) 546.7711,questions@indiangaming.org
3A Producciones,http://www.3aproducciones.com/,,info@3aproducciones.com
Grace McNamara Inc.,http://www.wf-vision.com/,+1 (651) 293-1544,info@wf-vision.com
Seatrade Cruise Events,http://www.seatradecruiseevents.com/,+44 1206 545121,A.Williams@informa.com
SAE (Society of Automotive Engineers),http://www.sae.org/,+1 (724) 776 4841,customerservice@sae.org
Italian Exhibition Group SpA,http://www.iegexpo.it/en,+39 0541 744111,info@iegexpo.it
Bellavita Expo Ltd,http://www.bellavita.com/,+44 (0) 20 3002 0506,info@quirismedia.com
Abióptica (Associação Brasileira da Indústria Óptica),http://www.abiotica.com.br/,+55 (11) 3045-2090,abioptica@abioptica.com.br
Aranda Eventos e Congressos,http://www.arandanet.com.br/,+55 (11) 3824-5300,fsf@arandanet.com.br
NAB (National Association of Broadcasters),http://www.nab.org/,+1 (202) 429-5300,nab@nab.org
WF-VISION  |  IWCE,http://www.wf-vision.com/,+1 (651) 330-0574,info@wf-vision.com
ISA (International Sign Association),http://www.signexpo.org/,+1 (703) 836 4012,info@signs.org
Halldale Group,http://www.halldale.com/,+1 (407) 322 5605,info@halldale.com
Pop Con LLC,http://www.indypopcon.com/,+1 (866) 544-4007,info@indypopcon.com
Ascential plc,http://www.ascential.com/,+44 (0)207 516 5000,contact@ascential.com
Hyve Group Plc,http://www.hyve.group/,+44 20 3545 9400,info@hyve.group
SVEM (Salon du véhicule électrique de Montréal),http://svem.ca/,+1 (450) 818 5373,info@svem.ca
CASALCO (Cámara Salvadoreña de la Industria de la Construción),http://www.casalco.org.sv/,+503 2510-1200,mercadeoynegocios@casalco.org.sv
Fenasoja,http://www.fenasoja.com.br/,+55 3512-6866,fin@fenasoja.com.br
Envase Brasil,http://www.envasebrasil.com.br/,+55 (54) 3452-9135,
InfoAgro,http://infoagroexhibition.com/en,+34 902 300103,exhibition@infoagro.com
CAPA - Centre for Aviation,http://www.centreforaviation.com/,+61 2 9241 3200,events@centreforaviation.com
ITS America,http://www.itsa.org/,+1 (800) 374-8472.,info@itsa.org
"DMG Events, Ltd",http://www.dmgevents.com/,+44 1737 855162,jessicasn@dmgeventsme.com
Newcom Média Québec inc.,http://www.newcom.ca/,+1 (514) 938-0639,joanw@newcom.ca
Newcom Business Media Inc.,http://www.newcom.ca/,+1 (416) 614-2200,joanw@newcom.ca
Abimaq,http://www.abimaq.org.br/,+55 (11) 5582 6311,dir@abimaq.org.br
Art Market Productions,http://artmarketproductions.com/,+1 (212) 518 6912,info@amp.events
Rapid News Group,http://www.rapidnews.com/,+44 1244 680222,jenna@rapidnews.com
APAS (Associação Paulista de Supermercados),http://feiraapas.com.br/?lang=en,+55 (11) 3647-5000,relacionamento@apas.com.br
Baking Association of Canada,http://www.baking.ca/,+1 (905) 405 0288,mbarnett@baking.ca
CanNorth Shows Inc.,http://www.cannorthshows.com/,+1 (855) 723-1156,info@cannorthshows.com
Promovisão,http://www.promovisao.com.br/,+55 (11) 3087-5050,contato@promovisao.com.br
"NBAA (National Business Aircraft Association, Inc)",http://www.nbaa.org/,+1 (202) 783-9000,info@nbaa.org
NYSCC (New York Society of Cosmetic Chemists),http://www.nyscc.org/,,
Fapcen (Fundação de Apoio à Pesquisa do Corredor de Exportação Norte),http://fapcen.org.br/,+55 (99) 3541-4404,ascom@fapcen.org.br
Rondônia Rural Show Internacional,http://www.rondoniaruralshow.ro.gov.br/,+55 (69) 3212-8811,edson.ferreira@seagri.ro.gov.br
Parks Associates,http://www.parksassociates.com/,+1 (972) 490.1113,info@parksassociates.com
AEE (Association of Energy Engineers),http://www.aeecenter.org/,+1 (770) 447-5083,info@aeecenter.org
AES (Audio Engineering Society Inc.),http://www.aes.org/,+1 (212) 661-8528,
WantedDesign,http://www.wanteddesignnyc.com/,,info@wanteddesignnyc.com
ANPIC A.C.,http://www.anpic.com/,+52 (477) 710 7200,anpic@anpic.com
VOLTA Production Office,http://www.voltashow.com/,,info@voltashow.com
Koelnmesse Organização de Feiras Ltda.,http://www.koelnmesse.de/,,info@koelnkongress.de
Trade Show Factory,http://www.tsfactory.com.mx/,+52.81.8333.4400,informes@tsfactory.com.mx
The Canadian Tulip Legacy,http://tulipfestival.ca/,+1 (800) 668-8547,info@tulipfestival.ca
TEFAF New York,http://www.tefaf.com/,+1 212 370 2501,info@tefafny.com
European Fine Art Foundation,http://www.tefaf.com/,+31 411 64 50 90,info@tefaf.com
CHI (Division of Cambridge Innovation Institute),http://www.pegsummit.com/,+1 (781) 972-5400,chi@healthtech.com
Cambridge Innovation Institute,http://www.cambridgeinnovationinstitute.com/,+1 (781) 972.5400,cii@cambridgeinnovationinstitute.com
SIAL Canada & SET Canada,http://www.sialcanada.com/,+1 (514) 289-9669,info@sialcanada.com
TG Expo International Fairs,http://www.tgexpo.com/en,+90 216 338 45 25,info@tgexpo.com
Ontario Waterpower Association,http://www.owa.ca/,+1 (866) 743-1500,info@owa.ca
PMA (Precision Metalforming Association),http://www.metalforming.com/,+1 (216) 901-8800,pma@pma.org
Plastics Industry Association,http://www.plasticsindustry.org/,+1 (202) 974.5235,npe@plasticsindustry.org
"SID,  Inc. (Society for Information Display)",http://www.sid.org/,+1 (408) 977-1013,office@sid.org
The Expo Hut Inc.,http://expohut.ca/,+1 (905) 232.6331,info@expohut.ca
"CIM (Canadian Institute of Mining, Metallurgy and Petroleum)",http://www.cim.org/,+1 (514) 939-2710,cim@cim.org
NCA (National Confectioners Association),http://www.candyusa.com/,+1 (202) 534-1440,info@candyusa.com
Quartz Business Media,http://quartzltd.com/,+44 (0)1737 855 000,info@quartzltd.com
Infopro Digital,http://www.infopro-digital.com/?lang=en,+33 (0)1 77 92 92 92,splatel@infoprodigital.com
WBR (Worldwide Business Research),http://www.wbresearch.com/,+44 (0)207 368 9465,pives@wbr.co.uk
Midwest Antiquarian Booksellers Association,http://www.mwaba.com/,,info@mwaba.com
ASCO (American Society of Clinical Oncology),http://www.asco.org/,+1 (888) 282-2552,customerservice@asco.org
"Beverage Media Group, Inc.",http://fr.linkedin.com/company/beverage-media,+1 (855) 481 1112,sid@usatradetasting.com
Event Industry Expo,http://www.eventindustryexpo.com/,+1 (800) 506-1540,support@eventindustryexpo.com
"Eagle Eye Expositions, LLC",http://www.eagleeyeexpos.com/,+1 (203) 822-7960,Pmackler@eagleeyeexpos.com
Conférium,http://www.conferium.com/,+1 (418) 522-8182,conference@conferium.com
The eWorld Team S.L.,http://www.the-eworld.com/,+34 93 309 49 41,hello@the-eworld.com
INTA (International Trademark Association),http://www.inta.org/,+1 (212) 642-1700,memberoperations@inta.org
Via Àpia Eventos,http://viaapiaeventos.com.br/,+55 (47) 3336-3314,contato@viaapiaeventos.com.br
National Restaurant Association,http://www.restaurant.org/,+1 (202) 331-5900,info@dineout.org
"JOGS International Exhibits, LLC",http://jogsshow.com/,+1  (213) 629-3030,info@jogsshow.com
Mundo Textil,http://www.mundotextilmag.com.ar/,+54-11-4862-8485,coordinacionmt@fibertel.com.ar
Mondial de la Bière,http://festivalmondialbiere.qc.ca/,+1 (514) 722-9640,mbiere@globetrotter.net
Racine Arts Council,http://www.racineartscouncil.org/,+1 (262) 635-0261,info@racineartscouncil.org
ATD - Association for Talent Developemnt,http://www.astd.org/,+1 (703) 683.8100,
ESA (Entertainment Software Association),http://www.theesa.com/,,esa@theesa.com
Expotrade Argentina,http://www.expotrade.com.ar/,+54 (11) 4779-5300,info@expotrade.com.ar
AIA (Asociación de Industriales de Antofagasta),http://www.aia.cl/,+56 55 2454300,exponor@aia.cl
Reconnaissance International,http://www.reconnaissance-intl.com/,+44 (0)1932 785 680,events@recon-intl.com
Premiere Show Group,http://www.premiereshows.com/,+1 (407) 265-3131,ed@premiereshows.com
CSAA (Central Station Alarm Association International),http://csaaintl.org/,+1 (703) 242-4670,techadmin@csaaintl.org
