id,venue_name,city,state
776,VFW Fairground Complex,Carrollton,GA
777,Hilton Orlando Bonnet Creek,Orlando,FL
778,"Tempe, AZ",Tempe,AZ
779,Mahaffey Theater Yacht Basin,St. Petersburg,FL
780,La Fonda Hotel,Santa Fe,NM
781,Hyatt Regency Minneapolis,Minneapolis,MN
782,Halifax Exhibition Centre,Halifax,NS
783,"San Diego, CA",San Diego,CA
784,Expo Guadalajara,Guadalajara,
785,Center 415,New York,NY
786,"Miami, FL",Miami,FL
787,Tacoma Dome,Tacoma,WA
788,Better Living Center,Springfield,MA
789,Sioux Falls Convention Center,Sioux Falls,SD
790,Vancouver Convention Centre,Vancouver,BC
791,The Ritz-Carlton Golf Resort,Naples,FL
792,Lyon County Fairgrounds,Emporia,KS
793,Canterbury Park,Shakopee,MN
794,Charleston Area Convention Center,Charleston,SC
795,Gaylord Texan Resort & Convention Center,Grapevine,TX
796,Bloomington Armory,Minneapolis,MN
797,AT&T Hotel and Conference Center,Austin,TX
798,"Los Angeles, CA",Los Angeles,CA
799,Sacramento Convention Center,Sacramento,CA
800,San Diego Mission Bay Resort,San Diego,CA
801,Salem Civic Center,Salem,VA
802,Extraco Events Center,Waco,TX
803,Anaheim Convention Center,Anaheim,CA
804,Chevy Chase Country Club Wheeling,Chicago,IL
805,Montgomery County Event Center,Dayton,OH
806,MS Coast Coliseum,Biloxi,MS
807,"Las Vegas, NV",Las Vegas,NV
808,Cabarrus Arena & Events Center Concord,Concord,NC
809,Best Western Royal Plaza Trade Center Marlborough,Worcester,MA
810,Macon County Recreation Park,Franklin,NC
811,Havana,Havana,
812,Coosa Valley Fairgrounds,Rome,GA
813,Colorado School of Mines,Denver,CO
814,Carapina Centro de Eventos,Serra,Espírito Santo
815,Naples Exhibition Center,Naples,FL
816,Charleston Civic Center,Charleston,WV
817,Decatur County Fairgrounds,Parsons,TN
818,"Boulder, CO",Boulder,CO
819,Greensboro Coliseum Complex,Greensboro,NC
820,BC Place Stadium,Vancouver,BC
821,America's Center Convention Complex,St. Louis,MO
822,Kansas City Convention Center,Kansas City,MO
823,Meadowlands Exposition Center,New York,NY
824,NRG Park,Houston,TX
825,Garland County Fairgrounds,Hot Springs,AR
826,"The International Centre, Toronto",Toronto,ON
827,Washington State Fair Events Center,Puyallup,WA
828,Greater Richmond Convention Center,Richmond,VA
829,Marine Corps Base - Camp Pendleton,Camp Pendleton,CA
830,Pooler-Cottonwood Conference Center,Pooler,GA
831,The Ranch - Larimer County Fairgrounds,Loveland,CO
832,WNC Agricultural Center,Asheville,NC
833,"National GuardArmy, Maryville",Maryville,TN
834,Moscone Convention Center,San Francisco,CA
835,Cintermex,Monterrey,
836,"Houston, TX",Houston,TX
837,Lancaster Event Center,Lincoln,NE
838,Dripping Springs Ranch Park and Event Center,Austin,TX
839,Ector County Coliseum Complex,Odessa,TX
840,"Tampa, FL",Tampa,FL
841,Rogers Convention Center,Rogers,AR
842,Royal Plaza Hotel & Trade Center,Marlborough,MA
843,Heinz Field,Pittsburgh,PA
844,Westland Mall,Columbus,OH
845,Seatle Convention Center,Seattle,WA
846,"The Madison Hotel, Washington, DC",Washington D.C.,
847,The Mart,Chicago,IL
848,Palm Springs Convention Center,Palm Springs,CA
849,Exchange Club Fairgrounds,Brunswick,GA
850,La Crosse Center,La Crosse,WI
851,Jacksonville Fairgrounds - Expo Center,Jacksonville,FL
852,The INK 48 Hotel,New York,NY
853,Bayfield Community Centre,Barrie,ON
854,Dallas Market Center,Dallas,TX
855,Station 1 Event Center,Zimmerman,MN
856,"Crown Expo Center, Fayetteville",Fayetteville,NC
857,"Stade Olympique, Montréal",Montreal,QC
858,"U.S. Bank Stadium, Minneapolis",Minneapolis,MN
859,"Montreal, QC",Montreal,QC
860,American Royal Center,Kansas City,MO
861,Dayton Airport Expo Center,Dayton,OH
862,Furniture and Things Event Center,Elk River,MN
863,Seattle Center,Seattle,WA
864,The Venetian Resort and Hotel,Las Vegas,NV
865,Birmingham-Jefferson Convention Complex,Birmingham,AL
866,Event Center at Twin River Casino,Lincoln,RI
867,Raleigh Convention Center,Raleigh,NC
868,Douglas County Fairgrounds,Castle Rock,CO
869,Metropolitan Pavilion,New York,NY
870,Wynwood Arts District,Miami,FL
871,International Agri-Center,Tulare,CA
872,Earth Expo & Covention Center at Mohegan Sun,Uncasville,CT
873,"NYS Fairgrounds - Syracuse, NY",Syracuse,NY
874,Wisconsin Center,Milwaukee,WI
875,Intercontinental Miami,Miami,FL
876,Centro de Congresos Queretaro,Querétaro,
877,"Nashville, TN",Nashville,TN
878,"Hyatt Regency, Indian Wells Resort & Spa",Indian Wells,CA
879,DCU Center,Worcester,MA
880,"Hotel Bonaventure, Montréal",Montreal,QC
881,Hasin Shrine Temple,Albany,GA
882,Kern County Fair,Bakersfield,CA
883,Eastlink Centre,Charlottetown,PE
884,Reno-Sparks Convention Center,Reno,NV
885,EAA Wearhouse,Oshkosh,WI
886,"Calgary, AB",Calgary,AB
887,"Palm Harbor, FL",Palm Harbor,FL
888,"Western Fair, Canada Building",London,ON
889,Conexus Arts Centre,Regina,SK
890,The Alamodome,San Antonio,TX
891,San Diego Convention Center,San Diego,CA
892,Town and Country Resort & Convention Center,San Diego,CA
893,Atlantic City Convention Center,Atlantic City,NJ
894,San Jose McEnery Convention Center,San Jose,CA
895,Feria Exposicion de Santa Cruz,Santa Cruz de la Sierra,
896,The Westin Cleveland Downtown,Cleveland,OH
897,"Ottawa, ON",Ottawa,ON
898,"Fredericton, NB",Fredericton,NB
899,The Bonita Springs Poker Room,Bonita Springs,FL
900,"JW Marriott Turnberry, Miami, FL",Miami,FL
901,"Mississauga, ON",Mississauga,ON
902,Catamaran Resort Hotel & Spa,San Diego,CA
903,Marriott Marquis Hotel,New York,NY
904,Campo de exposición Agrobaja,Mexicali,
905,Polo Caruaru,Caruaru,
906,Henry B. Gonzalez Convention Center,San Antonio,TX
907,Wahabi Shriners Center,Jackson,MS
908,Hilton Raleigh North Hills,Raleigh,NC
909,Palacio de Convenciones de la Habana,Havana,
910,Del Mar Fairgrounds,Del Mar,CA
911,Cox Convention Center,Oklahoma City,OK
912,Club Xochimilco Acalli,Mexico City,
913,Mobile Civic Center,Mobile,AL
914,Texas Motor Speedway,Fort Worth,TX
915,Predio Ferial y Autódromo de San Nicolás,San Nicolás de los Arroyos,
916,Bend Xpo,East Moline,IL
917,Pasadena Convention Center,Pasadena,CA
918,"Winnipeg, MB",Winnipeg,MB
919,Prairieland Park,Saskatoon,SK
920,Fort Worth Convention Center,Fort Worth,TX
921,Greater Tacoma Convention & Trade Center,Tacoma,WA
922,Onalaska OmniCenter,Onalaska,WI
923,Arapahoe County Fairgrounds and Event Center,Denver,CO
924,Richmond Raceway Complex,Richmond,VA
925,"The Westin Santa Fe, Mexico City",Mexico City,
926,Missouri State Fairgrounds Publicity,Sedalia,MO
927,"Industry City, Brooklyn",New York,NY
929,Haddad's Inc.,Pittsburgh,PA
930,"Holiday Inn Hotel, Dedham, MA",Dedham,MA
931,Panama Convention Center,Panama City,
932,Ferndale Events Center,Bellingham,WA
933,Fenac Exhibition grounds,Novo Hamburgo,
934,Ontario Convention Center,Riverside,CA
935,Chippewa Valley Expo,Eau Claire,WI
936,Deschutes County Fair & Expo Center,Redmond,OR
937,Georgia International Convention Center - GICC,Atlanta,GA
938,Miami Airport & Convention Center,Miami,FL
939,"The Westin Houston, Memorial City",Houston,TX
940,Eastern States Exposition Grounds,West Springfield,MA
941,Bogotá,Bogotá,
942,"World Equestrian Center, Ocala, FL",Ocala,FL
943,Querétaro Centro de Congresos,Querétaro,
944,Hilton Stamford Hotel & Executive Meeting Center,Stamford,CT
945,Moncton Coliseum Complex,Moncton,NB
946,Buffalo Nigara Convention Center,Buffalo,NY
947,"Kitchener, ON",Kitchener,ON
948,Hickory Metro Convention Center,Lenoir,NC
949,Lewis & Clark County Fairgrounds,Helena,MT
950,Sheraton Bogotá,Bogotá,
951,"Harbour Station, Saint  John",Saint John,NB
952,Jackson County Fairgrounds & Ariculture Center,Jefferson,GA
953,Industry City,New York,NY
954,The Westin Lombard Yorktown Center,Chicago,IL
955,Egon Júlio Goelzer Exhibition Park,Três Passos,
956,Clyde Muse Center,Pearl,MS
957,"Hotel Riu Plaza, Panama",Panama City,
958,"Colorado Springs, CO",Colorado Springs,CO
959,Transamérica Expo Center,São Paulo,
960,Centre des Congrès de Québec,Quebec City,QC
961,Santiago,Santiago,
962,The Westin Rancho Mirage Golf Resort & Spa,Palm Springs,CA
963,San Francisco Marriott Marquis,San Francisco,CA
964,"Parque de exposições, Rio Pardo",Rio Pardo,
965,El Dorado International Airport,Bogotá,
966,Las Américas Resort and Convention Center,Cartagena,
967,Courtyard by Marriott Boston Downtown,Boston,MA
968,Maple Grove Community Center,Maple Grove,MN
969,Shopping RioMar,Recife,
970,Lima,Lima,
971,Hastings Armory,Hastings,MN
972,Calle de servicio 200,Puerto Montt,
973,Washington County Fair Grounds,West Bend,WI
974,Pennsylvania Convention Center,Philadelphia,PA
975,MSU Pavilion,Lansing,MI
976,Irving Convention Center,Irving,TX
977,Madison Marriott West,Madison,WI
978,Empower Field House,Foxborough,MA
979,Renaissance São Paulo Hotel,São Paulo,
980,Hilton Long Beach,Long Beach,CA
981,Danbury Sports Dome,Danbury,CT
982,Palmer Events Center,Austin,TX
983,Eagan Community Center,Eagan,MN
984,Carney Island Recreation & Conservation Area,Ocala,FL
985,Findlay Toyota Center,Prescott Valley,AZ
986,Gaylord Palms Resort & Convention Center,Orlando,FL
987,Medellin,Medellin,
988,National Western Complex,Denver,CO
989,Chicago Marriott O'Hare,Chicago,IL
990,Rosen Plaza Hotel,Orlando,FL
991,Downtown Flagler Drive,Palm Beach,FL
992,Whipp Farm,Cleburne,TX
993,Putah Canyon Recreation Area,Napa,CA
994,Hartford XL Center,Hartford,CT
995,"Renasant Convention Center, Memphis",Memphis,TN
996,Pictou County Wellness Centre,New Glasgow,NS
997,"Minneapolis, MN",Minneapolis,MN
998,Charles E. Smith Center,Washington D.C.,
999,NYSE - New York Stock Exchange,New York,NY
1000,"Hotel Arts, Calgary",Calgary,AB
1001,Central Bank Center,Lexington,KY
1002,Capital Exhibit Centre,Fredericton,NB
1003,Hynes Convention Center,Boston,MA
1004,Hasse Arena,Lakeville,MN
1005,"Portland, OR",Portland,OR
1006,"Cal Expo, Sacramento",Sacramento,CA
1007,Ice Arena Antigo,Antigo,WI
1008,Aeropuerto Internacional Arturo Merino Benítez,Santiago,
1009,Kossiakoff Center at Johns Hopkins University,Laurel,MD
1010,Victoria Recreation Center,Victoria,MN
1011,Hyatt Regency Coconut Point,Bonita Springs,FL
1012,Orange County Convention Center,Baltimore,MD
1013,Stewart Hotel New York,New York,NY
1014,Chicago Marriott Oak Brook,Chicago,IL
1015,Bay Bridge Marina Stevensville,Annapolis,MD
1016,Batesville Civic Center,Batesville,MS
1017,Hyatt Regency San Francisco Airport,San Francisco,CA
1018,Hyatt Regency Mission Bay Spa and Marina Hyatt Regency Mission Bay Spa and Marina,San Diego,CA
1019,Mana Wynwood Convention Center,Miami,FL
1020,Huntington Place Convention Center,Detroit,MI
1021,"Grapevine, TX",Grapevine,TX
1022,Better Living Centre,Toronto,ON
1023,Meadowlands Expo Center Secaucus,Jersey City,NJ
1024,"Fort Worth, TX",Fort Worth,TX
1025,UF Scripps Biomedical Research - University of Florida,Jupiter,FL
1026,Rosen Shingle Creek Resort,Orlando,FL
1027,Centrexpo Cogeco Drummondville,Drummondville,QC
1028,Central Wisconsin Convention & Expo Center,Wausau,WI
1029,Hippodrome Ice Arena,White Bear Lake,MN
1030,Marina Jack's,Sarasota,FL
1031,Centro Internacional de Ferias y Convenciones,San Salvador,
1032,Gaylord National Resort and Convention Center,National Harbor,MD
1033,The Wanamaker Building,Philadelphia,PA
1034,Waukesha County Expo Center,Milwaukee,WI
1035,Parque Municipal de Exposições Alfredo Leandro Carlson,Santa Rosa,
1036,Live! Casino & Hotel Philadelphia,Philadelphia,PA
1037,Park Hyatt Chicago,Chicago,IL
1038,Fundaparque,Bento Gonçalves,
1039,Annapolis City Dock,Annapolis,MD
1040,Mazatlán International Center,Mazatlán,
1041,Ontario International Airport,Ontario,CA
1042,Topsfield Fairgrounds,Topsfield,MA
1043,Fairmont San Francisco Hotel,San Francisco,CA
1044,Fort Mason Center,San Francisco,CA
1045,Fontainebleau Resort Las Vegas,Las Vegas,NV
1046,Rath Eastlink Community Centre,Truro,NS
1047,Von Braun Center,Huntsville,AL
1048,Spruce Meadows,Calgary,AB
1049,Fazenda Sol Nascente,Balsas,
1050,Centro Tecnológico Vandeci Rack,Ji-Paraná,
1051,Parc 55 Hotel,San Francisco,CA
1052,Sheraton Philadelphia Downtown Hotel,Philadelphia,PA
1053,Mukwonago Field Park,Mukwonago,WI
1054,"World Market Center, Las Vegas",Las Vegas,NV
1055,Omni Frisco Hotel,Frisco TX,
1056,Fort Pontchartrain a Wyndham Hotel,Detroit,MI
1057,Poliforum Leon,León,
1058,HealthEast Sports Center,Woodbury,MN
1059,Meydenbauer Center,Bellevue,WA
1060,New York Pier 90,New York,NY
1061,Expo Unimed Curitiba,Curitiba,
1062,Centre Jean-Daigle,Edmundston,NB
1063,UQAC pavillon sportif,Saguenay,QC
1064,"The Westin Copley Place, Boston",Boston,MA
1065,"National Guard Armory, Covington",Covington,TN
1066,Westin Boston Seaport District,Boston,MA
1067,Commissioners Park,Ottawa,ON
1068,Park Avenue Armory,New York,NY
1069,The Westin Arlington Gateway,Washington D.C.,
1070,"Seaport Hotel, Boston",Boston,MA
1071,Mexico World Trade Center,Mexico City,
1072,World Trade Center São Paulo,São Paulo,
1073,White Oaks Conference Resort,Niagara Falls,ON
1074,Ibirapuera Park,São Paulo,
1075,"San Jose, CA",San Jose,CA
1076,Denver Merchandise Mart,Denver,CO
1077,JW Marriott Desert Springs Resort & Spa,Palm Springs,CA
1078,Chicago Journeyman Plumbers Union Hall,Chicago,IL
1079,Hilton Toronto,Toronto,ON
1080,Morgan MFG,Chicago,IL
1081,NRG Center,Houston,TX
1082,Norris Conference Centers - Houston CityCentre,Houston,TX
1083,"South Point Hotel, Casino and Spa",Las Vegas,NV
1084,The Studios at Paramount,Los Angeles,CA
1085,El Paso Convention and Performing Art Center,El Paso,TX
1086,Parque Vila Germanica,Blumenau,
1087,Eagle River Stadium,Eagle River,WI
1088,Cool Springs Galleria,Franklin,TN
1089,Gare Windsor,Montreal,QC
1090,Racine Zoo on Lake Michigan,Racine,WI
1091,Wynn Las Vegas Resort,Las Vegas,NV
1092,Hyatt Regency Orlando,Orlando,FL
1093,"Anaheim, CA",Anaheim,CA
1094,Recinto Ferial y de Actividades Comunitarias AIA,Antofagasta,
1095,Pacific National Exhibition,Vancouver,BC
1096,Orange County Convention Center,Las Vegas,NV
1097,Iowa State Fairgrounds,Des Moines,IA
1098,Greater Ft. Lauderdale - Broward County Convention Center,Fort Lauderdale,FL
1099,Aréna Jacques-Laperrière et Réjean Houle,Rouyn-Noranda,QC
1100,Fort Lauderdale War Memorial Auditorium,Fort Lauderdale,FL
1101,Chicago Marriott Schaumburg,Chicago,IL
1102,"Intercontinental Chicago Magnificent Mile, Chicago",Chicago,IL
1103,Hilton Washington DC National Mall The Wharf,Washington D.C.,
1104,Expo Santa Fe México CDMX,Mexico City,
1105,Intercontinental Santiago,Santiago,
1106,Mirage Event Center,Indianapolis,IN
1107,"Marriott Hotel, Schaumburg",Schaumburg,IL
1108,CenturyLink Field Event Center,Seattle,WA
1109,The Westin Lake Las Vegas Resort & Spa,Las Vegas,NV
1110,"Fairmont Century Plaza, Los Angeles",Los Angeles,CA
1111,São Paulo,São Paulo,
1112,Sunbridge Hotel and Conference Center,Sarnia,ON
1113,"Reno, NV",Reno,NV
1114,Aéroport de Montréal Saint-Hubert Longueuil,Montreal,QC
1115,Parque Anhembi,São Paulo,
1116,Cancún Center,Cancún,
1117,Hilton Mexico City Reforma,Mexico City,
1118,Salt Palace Convention Center,Salt Lake City,UT
1119,UIC Forum,Chicago,IL
1120,Westin Atlanta Perimeter North,Atlanta,GA
1121,Sheraton Vancouver Wall Centre,Vancouver,BC
1122,"Cancún-Riviera Maya, México",Cancún,
1123,Caroline Country Fairgrounds,Richmond,VA
1124,Renaissance Dallas Richardson Hotel,Dallas,TX
1125,Gaylord National Hotel & Convention Center,Washington D.C.,
1126,Twin Lakes Park Westmoreland,Pittsburgh,PA
1127,Ludington's Rotary Park,Ludington,MI
1128,Mystic Seaport,Norwich,CT
1129,Buenos Aires,Buenos Aires,
1130,Allen County War Memorial Coliseum,Fort Wayne,IN
1131,Kutztown Fairgrounds,Reading,PA
1132,"Cedar City, UT",Cedar City,UT
1133,"West Grand Traverse Bay, Lake Michigan",Traverse City,MI
1134,Nathan Phillips Square,Toronto,ON
1135,"Muskegon, MI",Muskegon,MI
1136,Hotel Van Zandt,Austin,TX
1137,"Weld County Fairgrounds, Greeley",Greeley,CO
1138,Cedar Creek Lake,Corsicana,TX
1139,"Weatherford, TX",Weatherford,TX
1140,"Williams Lake, Hudson Valley",Kingston,NY
1141,Marriott Tampa Westshore,Tampa,FL
1142,Penn State University Campus,State College,PA
1143,"Eden Roc Hotel, Miami Beach",Miami,FL
1144,The Lakeland Center,Lakeland,FL
1145,Indianapolis Marriott East,Indianapolis,IN
1146,Schoenecker Arena,St. Paul,MN
1147,Pioneer Park,Brookings,SD
1148,Rabun County Civic Center,Clayton,GA
1149,Burning Man Gathering,Reno,NV
1150,Monterey Conference Center,Monterey,CA
1151,Iola Old Car Show - Show Grounds,Iola,WI
1152,Diplomat Resort & Spa Hollywood,Hollywood,FL
1153,Gaylord Palms Resort and Convention Center,Kissimmee,FL
1154,Terranea Resor,Rancho Palos Verdes,CA
1155,Genesee Park / Lac Washington,Seattle,WA
1156,Palo Alto Art Center,Palo Alto,CA
1157,Museum Hill,Santa Fe,NM
1158,"Haddonfield, NJ",Haddonfield,NJ
1159,"Novotel Sao Paulo, Center Norte",São Paulo,
1160,Guilford Art Center,Farmington,CT
1161,Keystone Conference Center,Dillon,CO
1162,Aspen Ice Garden,Aspen,CO
1163,Gaylord Rockies Resort & Convention Center,Denver,CO
1164,DoubleTree By Hilton Bogota Salitre AR,Bogotá,
1165,Bridgehampton Museum,Bridgehampton,NY
1166,Esther Short Park,Vancouver,WA
1167,Centro de Eventos Valle del Pacifico,Cali,
1168,"Redwood Falls, MN",Redwood Falls,MN
1169,WestWorld of Scottsdale Phoenix,Phoenix,AZ
1170,Springdale Holiday Inn Convention Center,Springdale,AR
1171,Anoka Area Ice Arena,Roseville,MN
1172,Green Bay Austin Straubel International Airport,Green Bay,WI
1173,Schaumburg Convention Center,Schaumburg,IL
1174,Espace 400e,Quebec City,QC
1175,Castlewood Country Club Pleasanton,Pleasanton,CA
1176,Centro de Eventos Zanini,Sertãozinho,
1177,"Breckenridge, CO",Breckenridge,CO
1178,Agricenter International,Memphis,TN
1179,Duggal Greenhouse,New York,NY
1180,ExpoMag,Rio de Janeiro,
1181,Abbington Banquets Glen Ellyn,Chicago,IL
1182,"Saint-Liboire, QC",Saint-Liboire,QC
1183,"Raleigh, NC",Raleigh,NC
1184,Westin Denver Downtown Hotel,Denver,CO
1185,Villa Ciudad Ferial,Lima,
1186,"Lake George, NY",Lake George,NY
1187,Place des Festivals,Montreal,QC
1188,"Farm Progress Show Gathering, Decatur, IL",Boone,IA
1189,Parque de Exposição Carlos Caiado Barbosa,Cachoeiro de Itapemirim,
1190,"Tucson, AZ",Tucson,AZ
1191,Cartagena de Indias Convention Center,Cartagena,
1192,"June Lake, CA",June Lake,CA
1193,Watters Creek Convention Center,Allen,TX
1194,Universidad Nacional de San Agustin de Arequipa,Arequipa,
1195,Delta Trois-Rivieres Hotel & Conference Centre,Trois-Rivières,QC
1196,TCF Center - formely COBO Center,Detroit,MI
1197,"Hyatt Regency, Boston",San Diego,CA
1198,Nassau Veterans Memorial Coliseum,Uniondale,NY
1199,"Pittsburgh, PA",Pittsburgh,PA
1200,"Saugerties, NY",Saugerties,NY
1201,Paradisus Hotel,Playa del Carmen,
1202,Newport Harbor,Newport,RI
1203,Frank S. Farley State Marina,Atlantic City,NJ
1204,Hilton Houston Post Oak by the Galleria,Houston,TX
1205,"Grand Island, NE",Grand Island,NE
1206,New York Pier 36,New York,NY
1207,"Ketchikan, AK",Ketchikan,AK
1208,Suncor Community Leisure Centre,Fort McMurray - Wood Buffalo,AB
1209,"Schaumburg, IL",Schaumburg,IL
1210,"The Fairmont Hotel, Dallas",Dallas,TX
1211,Laurel Fairgrounds,Laurel,MS
1212,FisrtEnergy Park,Lakewood,NJ
1213,Hilton Post Oak,Houston,TX
1214,Greater Columbus Convention Center,Columbus,OH
1215,Georgia World Congress Center,Los Angeles,CA
1216,Baha Mar,Nassau,
1217,Hilton Lac-Leamy,Gatineau,QC
1218,Drury Lane Theatre,Oak Brook,IL
1219,"Statler Hotel, Dallas",Dallas,TX
1220,Norwalk Cove Marina,Norwalk,CT
1221,Rio de Janeiro,Rio de Janeiro,
1222,Buenos Aires Marriott Hotel,Buenos Aires,
1223,Corpus Christi American Bank Center,Corpus Christi,TX
1224,"C. Baldwin, Houston",Houston,TX
1225,Centro de Exposiciones Quito,Quito,
1226,Fargodome,Fargo,ND
1227,Ventura County Fairgrounds,Ventura,CA
1228,Stillwater Armory,Woodbury,MN
1229,National Cattle Congress Hippodrome Auditorium,Waterloo,IA
1230,Hotel Albuquerque at Old Town,Albuquerque,NM
1231,Centro Eventos Puente Verde,Santiago,
1232,Parque de Exposições Conta Dinheiro,Lages,
1233,"Embassy Suites By Hilton, Seattle",Seattle,WA
1234,Boston Marriott Burlington,Boston,MA
1235,Pavilhoes da Festa da Uva,Caxias do Sul,
1236,"Hotel CCT, Caracas",Caracas,
1237,Recanto da Cascata,São Roque - SP,
1238,Grand Quai du Port de Montréal,Montreal,QC
1239,Bell Harbor International Conference Center,Seattle,WA
1240,Hawaii Convention Center,Honolulu,HI
1241,Moody Gardens Convention Center,Galveston,TX
1242,Trilith Studios,Atlanta,GA
1243,Roland E. Powell Convention Center,Ocean City,MD
1244,Peppermill Resort Spa Casino,Reno,NV
1245,Loews Miami Beach Hotel,Miami,FL
1246,"Austin, TX",Austin,TX
1247,South San Francisco Conference Center,San Francisco,CA
1248,Kansas City Marriott Downtown,Kansas City,MO
1249,"Clearwater, FL",Clearwater,FL
1250,Pro Magno Centro de Eventos,São Paulo,
1251,Boardwalk Beach Resort,Panama City,FL
1252,Museo de la Nacion,Lima,
1253,"Paradox Hotel, Vancouver",Vancouver,BC
1254,Centro de Convenções Frei Caneca,São Paulo,
1255,Plaza Hotel & Casino,Las Vegas,NV
1256,Lake Cahuilla Park Palm Springs,La Quinta,CA
1257,Yarmouth Mariners Centre,Yarmouth,NS
1258,Hôtel Rimouski and Rimouski convention centre,Rimouski,QC
1259,Centro de Eventos Sur Activo,Concepción,
1260,Base Aeronaval Viña del Mar,Valparaiso,
1261,Clube Hebraica SP,São Paulo,
1262,Mexico Military Airbase,Mexico City,
1263,Rionegro,Rionegro,
1264,FIDAM (Feira Industrial de Americana),Americana,
1265,Macaé Centro,Macaé,
1266,CN Centre,Prince George,BC
1943,Palais Brongniart,Paris,
1944,Parc des expositions de Vitré,Vitré,
1945,Tüyap Damsun Fair and Congress Center,Samsun,
1946,Instituto Ferial de Vigo,Vigo,
1947,Orleans,Orleans,
