id,organizer_name,website,phone,email
1112,Babypalooza Inc.,http://www.babypalooza.com/,+1 (205) 440 2229,
1113,"Aeroxchange, Ltd",http://www.aeroxchange.com/aexportal,+1 (972) 556 8500,sales@aeroxchange.com
1114,Expoagro,http://www.expoagro.com.ar/,+54 11 5128-9800/05,igandara@expoagro.com.ar
1115,PDAC (Prospectors and Developers Association of Canada),http://www.pdac.ca/,+1 (416) 362 1969,info@pdac.ca
1116,ACIC Caruaru,http://aciccaruaru.com/,+55 81 3721-2725,marketing@aciccaruaru.com
1117,AMPP (Association for Materials Protection and Performance),http://www.ampp.org/,+1 (281) 228 6200,firstservice@nace.org
1118,EnsembleIQ Canada - Toronto,http://ensembleiq.com/,+1 (877) 687-7321,mcronin@ensembleiq.com
1119,EnsembleIQ Corporate,http://ensembleiq.com/,+1 (773) 992-4450,mcronin@ensembleiq.com
1120,Scrapbook Expo,http://www.scrapbookexpo.com/,+1 (888) 252-3976,info@scrapbookexpo.com
1121,Zak Group,http://zakgroup.com/,+91 44-42959595,info@zakgroup.com
1122,Hannover Fairs México,http://www.hfmexico.mx/en,+52 (55) 7028 3335,info@hfmexico.mx
1123,Deutsche Messe AG Hannover,http://www.messe.de/,+49 (0)511 89 0,info@messe.de
1124,NSTA (National Science Teacher's Association),http://www.nsta.org/,+1 (703) 243-7100,executive@nsta.org
1125,Francal Feiras,http://francalfeiras.com.br/home-ing,+55 (11) 2226-3100,atendimento@francal.com.br
1126,"Expocomer (Cámara de Comercio, Industrias y Agricultura de Panamá)",http://www.expocomer.com/,+507 207-3433,expo@expocomer.com
1127,Outsider Art Fair / Wide Open Arts,http://www.outsiderartfair.com/,+1 (212) 337 3338,info@outsiderartfair.com
1128,Fenac S/A,http://www.fenac.com.br/,+55 51 3587 3366,eventos@fenac.com.br
1129,MHIA (Material Handling Institute of America),http://www.mhia.org/,+1 (800) 345-1815,cmiller@mhia.org
1130,Latin Press Inc.,http://www.latinpressinc.com/en,+1 (305) 285 3133,informatica@latinpressinc.com
1131,Fortem International USA,http://www.fortem-international.com/,+1 (586) 723 7859,inquiries.epllv@fortem-international.com
1132,Fortem International Ltd.,http://www.fortem-international.com/,+44 0117 930 4927,inquiries.epllv@fortem-international.com
1133,HIMSS (Healthcare Information and Management Systems Society),http://www.himss.org/,+1 (312) 664-4467,
1134,SXSW LLC.,http://sxsw.com/,,
1135,BILD (Building Industry & Land Development Association),http://www.bildgta.ca/,+1 (416) 644-5408,homeshows@bildgta.ca
1136,NTEA (Association for the Work Truck Industry),http://www.ntea.com/,+1 (248) 489-7090,info@ntea.com
1137,"MJSA (Manufacturing Jewelers & Suppliers of America, Inc.)",http://www.mjsa.org/,+1 (401) 274-3840,
1138,Oliver Kinross Ltd,http://www.oliver-kinross.com/,+44 (0)203 058 2350,info@oliverkinross.com
1139,Oliver Kinross Asia Pacific,http://www.oliver-kinross.com/,+852 9794 5770,info@oliverkinross.com
1140,ANTAD,http://www.antad.net/,+52 (55) 5580 9900,malvarez@antad.org.mx
1141,Pet  Event Professionals,http://peteventprofessionals.com/,+1 (800) 977-3609,inquiries@peteventpros.com
1142,Alimentaria Exhibitions S.A.,http://www.alimentaria.com/,+34 93 4521800,info@alimentaria.com
1143,Montana department of Commerce,http://commerce.mt.gov/,+1 (406) 841-2700,
1144,Sofex Americas Ltda.,http://www.sofexamericas.com/,+57 1 618 0972,info@sofexamericas.com
1145,SIAL,http://www.sial.fr/,,sial@sial.fr
1146,Cine Gear Expo,http://www.cinegearexpo.com/,+1 (310) 472-0809,info@cinegearexpo.com
1147,Feicap,http://www.feicap.com.br/,+55 3522-2001,feicap@feicap.com.br
1148,Oxford Publishing Inc.,http://www.oxfordpublishinginc.com/,+1 (800) 247-3881,oxfordpublishing@oxpub.com
1149,ANA (American Numismatic Association),http://www.money.org/,+1 (719) 632-2646,ana@money.org
1150,International Pizza Expo,http://www.pizzaexpo.com/,+1 (502) 599-4650,boakley@pizzatoday.com
1151,CEATI International Inc.,http://www.ceati.com/,+1 (514) 866-5377,events@ceati.com
1152,Aqua Media International Ltd,http://www.hydropower-dams.com/,+44 20 8773 7244,sales@hydropower-dams.com
1153,Rethink Events Ltd,http://www.rethinkevents.com/,+44 (0)1273 789912,info@rethinkevents.com
1154,IHS,http://www.ihs.com/,+1 (832) 619-8599,mbspolymer@aol.com
1155,AFUBRA (Associação dos Fumicultores do Brasil),http://en.afubra.com.br/,+55 51 3713-7715,expoagro@afubra.com.br
1156,Informa Markets Brazil,http://www.informamarkets.com/en/regions.html,+55 11 4632 0200,informamarkets@informa.com
1157,Andina Link,http://andinalink.com/,+57 (316) 877-6065,maria@andinalink.com
1158,FESPA (Federation of European Screen Printers Association),http://www.fespa.com/,+44 (0)1737 240788,info@fespa.com
1159,GCADA (Greater Cincinnati Automobile Dealers Association),http://www.gcada.net/,+1 (513) 326-7100,info@gcada.net
1160,Affordable Art Fair,http://www.affordableartfair.com/,+44 (0)20 8246 4848,enquiries@affordableartfair.com
1161,IHA (International Housewares Association),http://www.housewares.org/,+1 (847) 292-4200,jgranda@housewares.org
1162,New Hope Natural Media,http://www.newhope.com/,+1 (303) 939-8440,info@newhope.com
1163,Tradex Exposiciones Internacionales,http://www.tradex.mx/,+52 (55) 5604 4900,info@tradex.com.mx
1164,Vostock Capital,http://vostockcapital.com/,+44 207 394 3090,events@vostockcapital.com
1165,GNYADA (Greater New York Automobile Dealers Association),http://www.gnyada.com/,+1 (718).746.5900,assistance@gnyada.com
1166,Commerce Interact Ltd.,http://www.commerceinteract.com/,+44 (0)20 7193 4823,contact@commerceinteract.com
1167,"Pinnacle Shows, LLC",http://pinnacle-shows.com/,+1 (470) 306-5544,Evan@pinnacle-shows.com
1168,MHI (Manufactured Housing Institute),http://www.mfghome.org/,+1 (703) 558-0400,registration@mfghome.org
1169,LLHA Association,http://www.llha.ca/,+1 (866) 872.2420,info@llha.ca
1170,Oil & gas Council,http://oilandgascouncil.com/,+1 (713) 353 3915,
1171,"PC International, Inc.",http://www.ipc.org/,+1 (847) 615-7100,Contact.Us@ipc.org
1172,"Conventures, Inc.",http://www.conventures.com/,+1 (617) 439 7700,info@conventures.com
1173,BAA (Boston Athletic Association),http://www.baa.org/,,info@baa.org
1174,Terrapinn USA,http://www.terrapinn.com/,+1 (212) 379 6320,enquiry.us@terrapinn.com
1175,Terrapinn Holdings Ltd,http://www.terrapinn.com/,+44 (0)20 7608 7030,enquiry.uk@terrapinn.com
1176,Cal State Enterprises,http://www.calexpo.com/,+1 (559) 322-2211,info@calexpo.com
1177,ARCHITECT @ WORK Headquarters,http://www.architectatwork.com/,+32 (0)56 24 11 59,info@architectatwork.com
1178,Xpo messe kontakt Gmbh,http://www.architectatwork.eu/,+49 (0)221 272 53 375,germany@architectatwork.eu
1179,Fidae,http://www.fidae.cl/,+56 2 8739750,central@fidae.cl
1180,MFV Expositions,http://www.franchiseexposouth.com/,+1 (201) 226-1130,info@mfvexpo.com
1181,ARC (Automation Research Corporation),http://www.arcweb.com/,+1 (781) 461 9100,info@arcweb.com
1182,"ASLMS (American Society for Laser Medicine and Surgery, Inc.).",http://www.aslms.org/,+1 (715) 845-9283,information@aslms.org
1183,Annapolis Boat Shows,http://www.annapolisboatshows.com/,+1 (410) 268 8828,info@annapolisboatshows.com
1184,Pintastic LLC,http://www.pintasticnewengland.com/,+1 (774) 278-3541,david@pintasticne.com
1185,National Indian Gaming Association,http://indiangaming.org/,+1 (202) 546.7711,questions@indiangaming.org
1186,3A Producciones,http://www.3aproducciones.com/,,info@3aproducciones.com
1187,Grace McNamara Inc.,http://www.wf-vision.com/,+1 (651) 293-1544,info@wf-vision.com
1188,Seatrade Cruise Events,http://www.seatradecruiseevents.com/,+44 1206 545121,A.Williams@informa.com
1189,SAE (Society of Automotive Engineers),http://www.sae.org/,+1 (724) 776 4841,customerservice@sae.org
1190,Italian Exhibition Group SpA,http://www.iegexpo.it/en,+39 0541 744111,info@iegexpo.it
1191,Bellavita Expo Ltd,http://www.bellavita.com/,+44 (0) 20 3002 0506,info@quirismedia.com
1192,Abióptica (Associação Brasileira da Indústria Óptica),http://www.abiotica.com.br/,+55 (11) 3045-2090,abioptica@abioptica.com.br
1193,Aranda Eventos e Congressos,http://www.arandanet.com.br/,+55 (11) 3824-5300,fsf@arandanet.com.br
1194,NAB (National Association of Broadcasters),http://www.nab.org/,+1 (202) 429-5300,nab@nab.org
1195,WF-VISION  |  IWCE,http://www.wf-vision.com/,+1 (651) 330-0574,info@wf-vision.com
1196,ISA (International Sign Association),http://www.signexpo.org/,+1 (703) 836 4012,info@signs.org
1197,Halldale Group,http://www.halldale.com/,+1 (407) 322 5605,info@halldale.com
1198,Pop Con LLC,http://www.indypopcon.com/,+1 (866) 544-4007,info@indypopcon.com
1199,Ascential plc,http://www.ascential.com/,+44 (0)207 516 5000,contact@ascential.com
1200,Hyve Group Plc,http://www.hyve.group/,+44 20 3545 9400,info@hyve.group
1201,SVEM (Salon du véhicule électrique de Montréal),http://svem.ca/,+1 (450) 818 5373,info@svem.ca
1202,CASALCO (Cámara Salvadoreña de la Industria de la Construción),http://www.casalco.org.sv/,+503 2510-1200,mercadeoynegocios@casalco.org.sv
1203,Fenasoja,http://www.fenasoja.com.br/,+55 3512-6866,fin@fenasoja.com.br
1204,Envase Brasil,http://www.envasebrasil.com.br/,+55 (54) 3452-9135,
1205,InfoAgro,http://infoagroexhibition.com/en,+34 902 300103,exhibition@infoagro.com
1206,CAPA - Centre for Aviation,http://www.centreforaviation.com/,+61 2 9241 3200,events@centreforaviation.com
1207,ITS America,http://www.itsa.org/,+1 (800) 374-8472.,info@itsa.org
1208,"DMG Events, Ltd",http://www.dmgevents.com/,+44 1737 855162,jessicasn@dmgeventsme.com
1209,Newcom Média Québec inc.,http://www.newcom.ca/,+1 (514) 938-0639,joanw@newcom.ca
1210,Newcom Business Media Inc.,http://www.newcom.ca/,+1 (416) 614-2200,joanw@newcom.ca
1211,Abimaq,http://www.abimaq.org.br/,+55 (11) 5582 6311,dir@abimaq.org.br
1212,Art Market Productions,http://artmarketproductions.com/,+1 (212) 518 6912,info@amp.events
1213,Rapid News Group,http://www.rapidnews.com/,+44 1244 680222,jenna@rapidnews.com
1214,APAS (Associação Paulista de Supermercados),http://feiraapas.com.br/?lang=en,+55 (11) 3647-5000,relacionamento@apas.com.br
1215,Baking Association of Canada,http://www.baking.ca/,+1 (905) 405 0288,mbarnett@baking.ca
1216,CanNorth Shows Inc.,http://www.cannorthshows.com/,+1 (855) 723-1156,info@cannorthshows.com
1217,Promovisão,http://www.promovisao.com.br/,+55 (11) 3087-5050,contato@promovisao.com.br
1218,"NBAA (National Business Aircraft Association, Inc)",http://www.nbaa.org/,+1 (202) 783-9000,info@nbaa.org
1219,NYSCC (New York Society of Cosmetic Chemists),http://www.nyscc.org/,,
1220,Fapcen (Fundação de Apoio à Pesquisa do Corredor de Exportação Norte),http://fapcen.org.br/,+55 (99) 3541-4404,ascom@fapcen.org.br
1221,Rondônia Rural Show Internacional,http://www.rondoniaruralshow.ro.gov.br/,+55 (69) 3212-8811,edson.ferreira@seagri.ro.gov.br
1222,Parks Associates,http://www.parksassociates.com/,+1 (972) 490.1113,info@parksassociates.com
1223,AEE (Association of Energy Engineers),http://www.aeecenter.org/,+1 (770) 447-5083,info@aeecenter.org
1224,AES (Audio Engineering Society Inc.),http://www.aes.org/,+1 (212) 661-8528,
1225,WantedDesign,http://www.wanteddesignnyc.com/,,info@wanteddesignnyc.com
1226,ANPIC A.C.,http://www.anpic.com/,+52 (477) 710 7200,anpic@anpic.com
1227,VOLTA Production Office,http://www.voltashow.com/,,info@voltashow.com
1228,Koelnmesse Organização de Feiras Ltda.,http://www.koelnmesse.de/,,info@koelnkongress.de
1229,Trade Show Factory,http://www.tsfactory.com.mx/,+52.81.8333.4400,informes@tsfactory.com.mx
1230,The Canadian Tulip Legacy,http://tulipfestival.ca/,+1 (800) 668-8547,info@tulipfestival.ca
1231,TEFAF New York,http://www.tefaf.com/,+1 212 370 2501,info@tefafny.com
1232,European Fine Art Foundation,http://www.tefaf.com/,+31 411 64 50 90,info@tefaf.com
1233,CHI (Division of Cambridge Innovation Institute),http://www.pegsummit.com/,+1 (781) 972-5400,chi@healthtech.com
1234,Cambridge Innovation Institute,http://www.cambridgeinnovationinstitute.com/,+1 (781) 972.5400,cii@cambridgeinnovationinstitute.com
1235,SIAL Canada & SET Canada,http://www.sialcanada.com/,+1 (514) 289-9669,info@sialcanada.com
1236,TG Expo International Fairs,http://www.tgexpo.com/en,+90 216 338 45 25,info@tgexpo.com
1237,Ontario Waterpower Association,http://www.owa.ca/,+1 (866) 743-1500,info@owa.ca
1238,PMA (Precision Metalforming Association),http://www.metalforming.com/,+1 (216) 901-8800,pma@pma.org
1239,Plastics Industry Association,http://www.plasticsindustry.org/,+1 (202) 974.5235,npe@plasticsindustry.org
1240,"SID,  Inc. (Society for Information Display)",http://www.sid.org/,+1 (408) 977-1013,office@sid.org
1241,The Expo Hut Inc.,http://expohut.ca/,+1 (905) 232.6331,info@expohut.ca
1242,"CIM (Canadian Institute of Mining, Metallurgy and Petroleum)",http://www.cim.org/,+1 (514) 939-2710,cim@cim.org
1243,NCA (National Confectioners Association),http://www.candyusa.com/,+1 (202) 534-1440,info@candyusa.com
1244,Quartz Business Media,http://quartzltd.com/,+44 (0)1737 855 000,info@quartzltd.com
1245,Infopro Digital,http://www.infopro-digital.com/?lang=en,+33 (0)1 77 92 92 92,splatel@infoprodigital.com
1246,WBR (Worldwide Business Research),http://www.wbresearch.com/,+44 (0)207 368 9465,pives@wbr.co.uk
1247,Midwest Antiquarian Booksellers Association,http://www.mwaba.com/,,info@mwaba.com
1248,ASCO (American Society of Clinical Oncology),http://www.asco.org/,+1 (888) 282-2552,customerservice@asco.org
1249,"Beverage Media Group, Inc.",http://fr.linkedin.com/company/beverage-media,+1 (855) 481 1112,sid@usatradetasting.com
1250,Event Industry Expo,http://www.eventindustryexpo.com/,+1 (800) 506-1540,support@eventindustryexpo.com
