company_name,address,phone,url,review_score,review_count
Blue Mount Roofing Ltd.,Roofing contractor,(604) 782-0490,http://bluemountroofing.ca,5.0,6
BC ROOFING LTD,3345 Kingsway #224,(604) 240-1850,http://bcroofer.ca,0.0,0
Affinity Roofing Inc.,422 Richards St #160,(604) 330-6500,https://www.affinityroofing.ca,4.8,6
Actual Contracting,Roofing contractor,(604) 377-2609,http://www.actualcontracting.com,5.0,2
Residential Roofing,6683 Tantalus Ln,(236) 300-8191,https://www.nextlevelroofing.ca,0.0,0
BOND ROOFING,5489 Byrne Rd #157,(604) 375-2100,http://www.bondroofing.ca,4.8,5
4Way Roofing LTD.,Roofing contractor,(778) 909-1290,https://4wayroofing.ca,5.0,2
Haida Roofing & Drainage,Haida Dr,(778) 883-6775,https://www.instagram.com,5.0,4
Affordable Quality Roofing Ltd,2411 Dollarton Hwy #212,(604) 984-9004,https://www.affordablequalityroofing.com,3.2,22
Vantage Roofing Ltd. - Vancouver Roofers & Roofing Contractors,Roofing contractor,(778) 743-1311,https://vantageroofingltd.ca,5.0,4
Heyes Roofing & Installations,357 Lynn Ave,(604) 985-8546,http://www.heyesroofing.com,5.0,6
Harvey Roofing,Roofing contractor,(778) 554-0722,http://harveyroofing.ca,4.5,8
Stormrider Roof Repairs,8623 Granville St #202,(604) 803-2808,https://stormrider604.com,0.0,0
MPG Roofing,1892 W Broadway,(604) 226-3866,http://ww1.mpgroofing.com,3.7,3
Above All Roofing,1199 Lynn Valley Rd,(604) 985-9214,http://www.aboveallroofingltd.com,5.0,6
Burrard Roofing & Drainage Inc,135 Riverside Dr W Unit B,(604) 986-1812,https://burrardroofing.com,3.7,16
Nika Roofing Ltd.,4379 Glencanyon Dr,(778) 858-7122,http://www.nikaroofing.ca,5.0,6
Design Roofing & Sheet Metal Ltd,1385 Kingsway Ave,(604) 944-2977,http://www.designroofing.ca,4.4,50
RooFix Services Inc,3051 Underhill Ave #11,(604) 444-4342,http://www.roofixinc.com,3.8,29
Supreme Roofing & Sheet Metal Ltd.,212 MacKay Rd,(604) 999-1287,http://www.supremesheetmetal.com,5.0,5
Best Quality Roofing,61B Fawcett Rd,(604) 716-5325,https://www.bcroofing.ca,4.2,32
Swift Roofing Contractor Vancouver - Richmond,5759 Musgrave Crescent,(778) 387-6970,https://www.swiftroofingcontractor.ca,0.0,0
Helios Roofing and Waterproofing Ltd.,5050 Kingsway,(604) 783-2806,https://www.heliosroofing.com,3.0,2
Marks Roofing Ltd.,Roofing contractor,(604) 265-9411,https://marksroofingltd.com,4.5,33
K2 Roofing Ltd.,911 12th St,(604) 317-0004,http://www.k2roofing.com,4.3,26
ABC Roofing Vancouver,Roofing contractor,(604) 706-1718,https://abcroofingvancouver.ca,5.0,2
Adanac Roofing & Gutters,22116 88 Ave,(604) 888-1616,https://www.adanac.ca,4.9,177
Paragon Roofing BC- Roofing Contractor Vancouver,Roofing contractor,(604) 358-3436,http://paragonroofingbc.ca,5.0,1
CentiMark Ltd.,7680 Winston St,(604) 521-8911,https://www.centimarkltd.ca,4.2,12
Proper Roofing (Ltd-LLC),1149 Dansey Ave,(778) 554-8350,http://www.properroofingco.com,4.9,97
Robinson Roofing and Sheet Metal Inc,1921 Broadway St #2,(604) 500-7663,https://www.robinsonroof.ca,4.7,30
Up & Up Roofing,3980 Carrigan Ct,(604) 721-9875,http://www.upanduproofing.ca,5.0,23
Hunter Roofing,11760 Voyageur Way,(604) 439-2000,https://hunterroofing.com,0.0,0
A-G-Woodward Roofing And Drainage Limited,Roofing contractor,(604) 327-2908,http://www.agwoodwardroofing.ca,5.0,1
Amex Roofing and Drainage Ltd,323 Lynn Ave,(604) 985-1859,https://amexroofing.ca,3.1,18
Atwal Roofing Ltd,Roofing contractor,(778) 245-9456,http://atwalroofing.com,5.0,6
Crucial Roof Services Ltd.,Garfield Dr,(604) 561-8798,http://www.crucialroofservices.com,4.8,19
Our Cedar Roofs Inc.,1285 W Broadway Suite 600A,(778) 371-3525,https://ourcedarroofs.com,5.0,2
Lam Metal,6962 Buller Ave,(604) 430-3233,http://www.lammetal.ca,4.4,17
California Roofing Ltd.,4284 Hastings St,(604) 719-8466,http://www.californiaroofingltd.com,5.0,7
J J Roofing,10660 140 St,(604) 726-6345,http://www.jjroofing.ca,4.7,75
Tough Roofing Vancouver,101-1001 W Broadway Unit# 640 AA,(604) 262-4064,https://www.roofersvancouverbc.com,0.0,0
Crown Architectural Sheet Metal & Cladding Ltd.,1075 Millcarch St unit 120,(604) 327-8029,http://www.crownmetalltd.com,5.0,3
Blue Mount Roofing Ltd. - Roofing Contractor Vancouver,Roofing contractor,(604) 782-0490,https://www.facebook.com,5.0,2
Done Right Solutions Ltd.,1675 Davie St,(778) 881-5309,https://www.pacificwestexteriors.ca,3.0,2
Whonnock Roofing Ltd,4720 Kingsway Metrotowers 2 Suite #2600,(604) 462-7638,https://www.whonnockroofing.com,5.0,1
North Vancouver Roofing,Roofing contractor,(604) 757-0443,https://roofingnorthvancouver.com,4.0,3
Hybrid Roofing & Exterior Solutions,Roofing contractor,(778) 513-2777,https://hybrid-roofing-exterior-solutions-roofin-contractor-burnaby-bc.business.site,1.0,1
North Vancouver Roofing & Contracting,215 W Keith Rd,(778) 601-4655,https://northvanroofers.com,5.0,3
Taves Roofing North Vancouver,2609 Westview Dr #201,(604) 524-6695,http://tavesroofing.com,4.0,4
Adanac Roofing & Gutters,456 Moberly Rd #206,(778) 655-3036,http://www.adanac.ca,0.0,0
Max Roofing Richmond,9151 No 5 Rd Unit #103,(778) 800-6295,https://maxroofingbc.ca,5.0,1
Penfolds Roofing & Solar,2230 Hartley Ave,(604) 254-4663,https://www.penfoldsroofing.com,4.2,67
Homeguard Roofing & Renovations Inc,Roofing contractor,(604) 308-1698,http://www.homeguardroofing.ca,4.8,31
Flat Roofing B.C. Inc,13786 27 Ave,(604) 385-3178,https://www.flatroofingbc.com,5.0,37
NORTHVAN ROOFING,Roofing contractor,(604) 999-5953,http://northvanroofing.com,5.0,2
North Vancouver Roofing,3458 Upton Rd,(604) 960-0504,http://www.northvancouverroofing.ca,5.0,2
Paragon roofing BC-,Roofing contractor,(604) 358-3436,http://paragonroofingbc.ca,5.0,1
Scholtens Roofing,200-1460 Main St #257,(604) 835-7663,http://scholtensroofing.com,5.0,2
